data.window.navigator.userAgent,data.window.screen.width,data.window.screen.height,data.window.screen.availWidth,data.window.screen.availHeight,data.window.screen.colorDepth,data.window.screen.pixelDepth,data.window.innerWidth,data.window.innerHeight,data.window.outerWidth,data.window.addEventListener,data.window.XMLHttpRequest,data.window.XDomainRequest,data.window.emit,data.window.DeviceOrientationEvent,data.window.DeviceMotionEvent,data.window.TouchEvent,data.window.spawn,data.window.chrome.app.isInstalled,data.window.chrome.app.InstallState.DISABLED,data.window.chrome.app.InstallState.INSTALLED,data.window.chrome.app.InstallState.NOT_INSTALLED,data.window.chrome.app.RunningState.CANNOT_RUN,data.window.chrome.app.RunningState.READY_TO_RUN,data.window.chrome.app.RunningState.RUNNING,data.window.prototype_bind,data.window.Buffer,data.window.PointerEvent,data.window.opera,data.window.HTMLElement,data.window.RTCPeerConnection,data.window.mozInnerScreenY,data.window.sessionStorage,data.window.localStorage,data.window.indexedDB,data.window.prototype_forEach,data.window.FileReader,data.window.t_value,data.window.XPathResult,data.navigator.productSub,data.navigator.language,data.navigator.product,data.navigator.plugins,data.navigator.vibrate,data.navigator.getBattery,data.navigator.credentials,data.navigator.appMinorVersion,data.navigator.bluetooth,data.navigator.storage,data.navigator.getGamepads,data.navigator.getStorageUpdates,data.navigator.hardwareConcurrency,data.navigator.mediaDevices,data.navigator.mozAlarms,data.navigator.mozConnection,data.navigator.mozIsLocallyAvailable,data.navigator.mozPhoneNumberService,data.navigator.msManipulationViewsEnabled,data.navigator.permissions,data.navigator.registerProtocolHandler,data.navigator.requestMediaKeySystemAccess,data.navigator.requestWakeLock,data.navigator.sendBeacon,data.navigator.serviceWorker,data.navigator.storeWebWideTrackingException,data.navigator.webkitGetGamepads,data.navigator.webkitTemporaryStorage,data.navigator.cookieEnabled,data.navigator.javaEnabled,data.navigator.doNotTrack,data.document.body.clientWidth,data.document.body.clientHeight,data.document.body.outerWidth,data.document.documentmode,data.document.webkitHidden,data.gpu.weh,data.gpu.wl,data.gpu.wr,data.gpu.wv,data.navperms,data.mr,data.fm.fmh,data.fm.fmz,data.voices,data.canvas.canvas1.rCFP,data.canvas.canvas1.rVal,data.canvas.canvas1.e,data.canvas.canvas2.rCFP,data.canvas.canvas2.rVal,data.canvas.canvas2.e,data.fonts,data.fonts_o,data.plugins
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"0,0,0,200,200,200,200,200,200,400,200,0,0,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],692796960,215,1813171,-743271726,445,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"200,0,200,0,200,0,200,200,0,200,0,0,0,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],-558523863,187,1813171,-676285451,608,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1440,900,1440,794,24,24,1126,720,1126,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,97,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1126,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel(R) Iris(TM) Plus Graphics 640,Intel Inc.,1.11E+19,"200,0,0,200,200,200,0,0,0,200,0,0,200,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],1933132722,169,1813171,1576460100,592,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,6,7,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,6,7,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"0,0,0,0,200,200,200,200,0,200,200,0,0,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],284013332,322,1813171,207276388,737,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"0,0,0,200,200,200,0,200,0,200,0,0,200,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],850471385,928,1813171,248573606,646,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"200,0,0,200,0,200,200,400,0,0,0,0,0,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],-340875505,209,1813171,2029921775,265,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1440,900,1440,828,24,24,1440,721,1440,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,"[""Shockwave Flash""]",1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1440,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel HD Graphics 5000 OpenGL Engine,Intel Inc.,1.11E+19,"600,0,0,0,200,200,0,200,200,200,200,0,200,400,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,225;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,279;",1,[],-1365584211,468,981186219,-1333020825,712,-1263463572,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",",3"
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"200,0,0,0,400,200,200,400,0,200,200,0,0,400,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],-1913624713,292,1813171,539777270,702,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"200,0,0,0,0,200,400,200,0,200,0,0,0,200,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],726981908,943,1813171,-1981905221,660,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:81.0) Gecko/20100101 Firefox/81.0,1280,800,1280,709,24,24,1028,607,1028,1,1,0,0,1,1,0,0,,,,,,,,TRUE,0,1,0,0,1,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20100101,en-US,Gecko,[],1,0,FALSE,0,0,0,32,0,128,0,0,0,0,0,0,16384,0,65536,0,262144,0,0,0,0,TRUE,FALSE,unspecified,1028,0,FALSE,undefined,,faa364726c2d467d321c3121e9ca9e86c8e63c3eae47970c432c83f0c60bbc6e,25,Intel Iris OpenGL Engine,Intel Inc.,1.11E+19,"200,200,0,0,200,200,200,0,0,0,0,0,200,400,","Monospace:1267,193;Wingdings 2:1267,193;ITC Bodoni 72 Bold:1267,193;Menlo:1272,224;Gill Sans MT:1355,192;Lucida Sans:1355,192;Bodoni 72:1355,192;Serif:1355,192;Shree Devanagari 714:1355,192;Microsoft Tai Le:1355,192;Nimbus Roman No 9 L:1355,192;Candara:1355,192;Press Start 2P:1355,192;Waseem:1355,278;",2,[],-246832328,372,1813171,1120785148,8,55578436,"0,13,15,16,18,20,27,28,29,37,38,40,43,44,8","0,13,15,16,18,20,27,28,29,37,38,40,43,44,8",
